,loss,masked_accuracy,val_loss,val_masked_accuracy
0,3.1135644912719727,0.2271479219198227,2.7150990962982178,0.28904229402542114
1,2.605271100997925,0.32302016019821167,2.3936562538146973,0.39753037691116333
2,2.1489899158477783,0.48140543699264526,1.869446873664856,0.5809431076049805
3,1.625063180923462,0.6730429530143738,1.4411499500274658,0.742848813533783
4,1.311779260635376,0.7916438579559326,1.2582608461380005,0.8089256286621094
5,1.1713111400604248,0.8432336449623108,1.1604942083358765,0.8455420732498169
6,1.091222882270813,0.872460126876831,1.0975655317306519,0.869752049446106
7,1.0405268669128418,0.8905057907104492,1.055346965789795,0.8847253322601318
8,1.002970814704895,0.9042372703552246,1.0509408712387085,0.8855031728744507
9,0.9768815636634827,0.9131078124046326,1.024979591369629,0.895420491695404
10,0.9553486704826355,0.9207966923713684,1.0082687139511108,0.901584804058075
11,0.933801531791687,0.9280987977981567,0.9847507476806641,0.9089353680610657
12,0.9071156978607178,0.9374784231185913,0.9725434184074402,0.9136995673179626
13,0.8855994343757629,0.9450783133506775,0.9500994682312012,0.9209722876548767
14,0.8674777746200562,0.9513400197029114,0.9351004362106323,0.927039384841919
15,0.8510023951530457,0.9572174549102783,0.9322265386581421,0.9277783036231995
16,0.8366532325744629,0.9619132876396179,0.9130697846412659,0.9344287514686584
17,0.8257012963294983,0.9657474160194397,0.9015647172927856,0.9391930103302002
18,0.8147886991500854,0.9691991209983826,0.8868224620819092,0.9427515864372253
19,0.804776668548584,0.9722794890403748,0.8774901032447815,0.9451239705085754
20,0.795813262462616,0.9751587510108948,0.8696925640106201,0.9477880597114563
21,0.7875159382820129,0.9780884981155396,0.8650382161140442,0.9493048191070557
22,0.7811298370361328,0.9800385236740112,0.8580069541931152,0.950957715511322
23,0.7761654853820801,0.9815410375595093,0.8582426905632019,0.9518522024154663
24,0.7725136280059814,0.9825533032417297,0.85807204246521,0.951385498046875
25,0.7691941857337952,0.983525276184082,0.8525804877281189,0.9530773162841797
26,0.7663188576698303,0.9843629598617554,0.8471449017524719,0.9549052119255066
27,0.7635491490364075,0.9849815964698792,0.8461875319480896,0.9539329409599304
28,0.7585461139678955,0.9867870211601257,0.8470776081085205,0.9544968605041504
29,0.7555752396583557,0.9876221418380737,0.8416483402252197,0.9565969705581665
